Commodity,Country,UOM,Category,SubCategory,RowNumber,YearNum,FoodValue
Tea and mate,CHINA,Million $,Coffee,Foods,36,2001,21.4
Tea and mate,CANADA,Million $,Coffee,Foods,37,2001,52.5
Tea and mate,INDIA,Million $,Coffee,Foods,38,2001,23.1
Tea and mate,REST OF WORLD,Million $,Coffee,Foods,39,2001,135.7
Tea and mate,WORLD,Million $,Coffee,Foods,40,2001,236.2
Tea and mate,WORLD (Quantity),"1,000 mt",Coffee,Foods,41,2001,164.7
Spices,VIETNAM,Million $,Coffee,Foods,42,2001,12.1
Spices,INDIA,Million $,Coffee,Foods,43,2001,59.4
Spices,MEXICO,Million $,Coffee,Foods,44,2001,28.5
Spices,CHINA,Million $,Coffee,Foods,45,2001,28.1
Spices,INDONESIA,Million $,Coffee,Foods,46,2001,106.1
Spices,SPAIN,Million $,Coffee,Foods,47,2001,15.8
Spices,PERU,Million $,Coffee,Foods,48,2001,2.6
Spices,MADAGASCAR,Million $,Coffee,Foods,49,2001,78.1
Spices,REST OF WORLD,Million $,Coffee,Foods,50,2001,154.3
Spices,WORLD,Million $,Coffee,Foods,51,2001,485.0
Spices,WORLD (Quantity),"1,000 mt",Coffee,Foods,52,2001,203.9
"Total coffee, tea, and spices",BRAZIL,Million $,Coffee,Foods,1,2002,259.8
"Total coffee, tea, and spices",COLOMBIA,Million $,Coffee,Foods,2,2002,331.4
"Total coffee, tea, and spices",SWITZERLAND,Million $,Coffee,Foods,3,2002,22.2
"Total coffee, tea, and spices",MEXICO,Million $,Coffee,Foods,4,2002,226.8
"Total coffee, tea, and spices",VIETNAM,Million $,Coffee,Foods,5,2002,73.2
"Total coffee, tea, and spices",CANADA,Million $,Coffee,Foods,6,2002,171.6
"Total coffee, tea, and spices",INDIA,Million $,Coffee,Foods,7,2002,79.6
"Total coffee, tea, and spices",REST OF WORLD,Million $,Coffee,Foods,8,2002,1290.4
"Total coffee, tea, and spices",WORLD,Million $,Coffee,Foods,9,2002,2455.0
"Total coffee, tea, and spices",WORLD (Quantity),"1,000 mt",Coffee,Foods,10,2002,1635.5
"Coffee beans, unroasted",BRAZIL,Million $,Coffee,Foods,11,2002,201.9
"Coffee beans, unroasted",COLOMBIA,Million $,Coffee,Foods,12,2002,315.5
"Coffee beans, unroasted",GUATEMALA,Million $,Coffee,Foods,13,2002,167.5
"Coffee beans, unroasted",HONDURAS,Million $,Coffee,Foods,14,2002,27.1
"Coffee beans, unroasted",PERU,Million $,Coffee,Foods,15,2002,57.5
"Coffee beans, unroasted",VIETNAM,Million $,Coffee,Foods,16,2002,51.7
"Coffee beans, unroasted",REST OF WORLD,Million $,Coffee,Foods,17,2002,548.2
"Coffee beans, unroasted",WORLD,Million $,Coffee,Foods,18,2002,1369.4
"Coffee beans, unroasted",WORLD (Quantity),"1,000 mt",Coffee,Foods,19,2002,1162.8
"Coffee, roasted and instant",SWITZERLAND,Million $,Coffee,Foods,20,2002,1.2
"Coffee, roasted and instant",CANADA,Million $,Coffee,Foods,21,2002,70.6
"Coffee, roasted and instant",ITALY,Million $,Coffee,Foods,22,2002,18.2
"Coffee, roasted and instant",COLOMBIA,Million $,Coffee,Foods,23,2002,4.6
"Coffee, roasted and instant",MEXICO,Million $,Coffee,Foods,24,2002,3.1
"Coffee, roasted and instant",REST OF WORLD,Million $,Coffee,Foods,25,2002,57.2
"Coffee, roasted and instant",WORLD,Million $,Coffee,Foods,26,2002,154.9
"Coffee, roasted and instant",WORLD (Quantity),"1,000 mt",Coffee,Foods,27,2002,39.9
Coffee extracts and preparations,MEXICO,Million $,Coffee,Foods,28,2002,35.6
Coffee extracts and preparations,BRAZIL,Million $,Coffee,Foods,29,2002,23.5
Coffee extracts and preparations,COLOMBIA,Million $,Coffee,Foods,30,2002,8.3
Coffee extracts and preparations,NETHERLANDS,Million $,Coffee,Foods,31,2002,35.2
Coffee extracts and preparations,REST OF WORLD,Million $,Coffee,Foods,32,2002,69.3
Coffee extracts and preparations,WORLD,Million $,Coffee,Foods,33,2002,171.9
Coffee extracts and preparations,WORLD (Quantity),"1,000 mt",Coffee,Foods,34,2002,37.0
Tea and mate,JAPAN,Million $,Coffee,Foods,35,2002,4.5
Tea and mate,CHINA,Million $,Coffee,Foods,36,2002,27.4
Tea and mate,CANADA,Million $,Coffee,Foods,37,2002,53.4
Tea and mate,INDIA,Million $,Coffee,Foods,38,2002,23.5
Tea and mate,REST OF WORLD,Million $,Coffee,Foods,39,2002,137.2
Tea and mate,WORLD,Million $,Coffee,Foods,40,2002,246.0
Tea and mate,WORLD (Quantity),"1,000 mt",Coffee,Foods,41,2002,163.0
Spices,VIETNAM,Million $,Coffee,Foods,42,2002,18.9
Spices,INDIA,Million $,Coffee,Foods,43,2002,51.8
Spices,MEXICO,Million $,Coffee,Foods,44,2002,35.9
Spices,CHINA,Million $,Coffee,Foods,45,2002,31.1
Spices,INDONESIA,Million $,Coffee,Foods,46,2002,80.9
Spices,SPAIN,Million $,Coffee,Foods,47,2002,17.0
Spices,PERU,Million $,Coffee,Foods,48,2002,7.4
Spices,MADAGASCAR,Million $,Coffee,Foods,49,2002,115.5
Spices,REST OF WORLD,Million $,Coffee,Foods,50,2002,154.3
Spices,WORLD,Million $,Coffee,Foods,51,2002,512.8
Spices,WORLD (Quantity),"1,000 mt",Coffee,Foods,52,2002,232.9
"Total coffee, tea, and spices",BRAZIL,Million $,Coffee,Foods,1,2003,339.5
"Total coffee, tea, and spices",COLOMBIA,Million $,Coffee,Foods,2,2003,377.3
"Total coffee, tea, and spices",SWITZERLAND,Million $,Coffee,Foods,3,2003,28.7
"Total coffee, tea, and spices",MEXICO,Million $,Coffee,Foods,4,2003,196.6
"Total coffee, tea, and spices",VIETNAM,Million $,Coffee,Foods,5,2003,98.3
"Total coffee, tea, and spices",CANADA,Million $,Coffee,Foods,6,2003,167.0
"Total coffee, tea, and spices",INDIA,Million $,Coffee,Foods,7,2003,78.8
"Total coffee, tea, and spices",REST OF WORLD,Million $,Coffee,Foods,8,2003,1585.7
"Total coffee, tea, and spices",WORLD,Million $,Coffee,Foods,9,2003,2871.9
"Total coffee, tea, and spices",WORLD (Quantity),"1,000 mt",Coffee,Foods,10,2003,1715.0
"Coffee beans, unroasted",BRAZIL,Million $,Coffee,Foods,11,2003,268.6
"Coffee beans, unroasted",COLOMBIA,Million $,Coffee,Foods,12,2003,360.6
"Coffee beans, unroasted",GUATEMALA,Million $,Coffee,Foods,13,2003,212.2
"Coffee beans, unroasted",HONDURAS,Million $,Coffee,Foods,14,2003,24.3
"Coffee beans, unroasted",PERU,Million $,Coffee,Foods,15,2003,61.7
"Coffee beans, unroasted",VIETNAM,Million $,Coffee,Foods,16,2003,74.1
"Coffee beans, unroasted",REST OF WORLD,Million $,Coffee,Foods,17,2003,610.6
"Coffee beans, unroasted",WORLD,Million $,Coffee,Foods,18,2003,1612.1
"Coffee beans, unroasted",WORLD (Quantity),"1,000 mt",Coffee,Foods,19,2003,1219.7
"Coffee, roasted and instant",SWITZERLAND,Million $,Coffee,Foods,20,2003,1.6
"Coffee, roasted and instant",CANADA,Million $,Coffee,Foods,21,2003,70.9
"Coffee, roasted and instant",ITALY,Million $,Coffee,Foods,22,2003,22.3
"Coffee, roasted and instant",COLOMBIA,Million $,Coffee,Foods,23,2003,4.6
"Coffee, roasted and instant",MEXICO,Million $,Coffee,Foods,24,2003,3.9
"Coffee, roasted and instant",REST OF WORLD,Million $,Coffee,Foods,25,2003,61.2
"Coffee, roasted and instant",WORLD,Million $,Coffee,Foods,26,2003,164.5
"Coffee, roasted and instant",WORLD (Quantity),"1,000 mt",Coffee,Foods,27,2003,41.2
Coffee extracts and preparations,MEXICO,Million $,Coffee,Foods,28,2003,32.3
Coffee extracts and preparations,BRAZIL,Million $,Coffee,Foods,29,2003,32.7
Coffee extracts and preparations,COLOMBIA,Million $,Coffee,Foods,30,2003,8.9
Coffee extracts and preparations,NETHERLANDS,Million $,Coffee,Foods,31,2003,42.3
Coffee extracts and preparations,REST OF WORLD,Million $,Coffee,Foods,32,2003,68.4
Coffee extracts and preparations,WORLD,Million $,Coffee,Foods,33,2003,184.6
Coffee extracts and preparations,WORLD (Quantity),"1,000 mt",Coffee,Foods,34,2003,42.8
Tea and mate,JAPAN,Million $,Coffee,Foods,35,2003,5.4
Tea and mate,CHINA,Million $,Coffee,Foods,36,2003,35.3
Tea and mate,CANADA,Million $,Coffee,Foods,37,2003,53.3
Tea and mate,INDIA,Million $,Coffee,Foods,38,2003,29.0
Tea and mate,REST OF WORLD,Million $,Coffee,Foods,39,2003,143.2
Tea and mate,WORLD,Million $,Coffee,Foods,40,2003,266.2
Tea and mate,WORLD (Quantity),"1,000 mt",Coffee,Foods,41,2003,168.0
Spices,VIETNAM,Million $,Coffee,Foods,42,2003,20.7
Spices,INDIA,Million $,Coffee,Foods,43,2003,46.3
Spices,MEXICO,Million $,Coffee,Foods,44,2003,30.1
Spices,CHINA,Million $,Coffee,Foods,45,2003,38.4
Spices,INDONESIA,Million $,Coffee,Foods,46,2003,119.2
Spices,SPAIN,Million $,Coffee,Foods,47,2003,18.5
Spices,PERU,Million $,Coffee,Foods,48,2003,7.9
Spices,MADAGASCAR,Million $,Coffee,Foods,49,2003,179.0
Spices,REST OF WORLD,Million $,Coffee,Foods,50,2003,184.5
Spices,WORLD,Million $,Coffee,Foods,51,2003,644.6
Spices,WORLD (Quantity),"1,000 mt",Coffee,Foods,52,2003,243.4
"Total coffee, tea, and spices",BRAZIL,Million $,Coffee,Foods,1,2004,394.0
"Total coffee, tea, and spices",COLOMBIA,Million $,Coffee,Foods,2,2004,410.0
"Total coffee, tea, and spices",SWITZERLAND,Million $,Coffee,Foods,3,2004,36.2
"Total coffee, tea, and spices",MEXICO,Million $,Coffee,Foods,4,2004,215.3
"Total coffee, tea, and spices",VIETNAM,Million $,Coffee,Foods,5,2004,144.5
"Total coffee, tea, and spices",CANADA,Million $,Coffee,Foods,6,2004,181.0
"Total coffee, tea, and spices",INDIA,Million $,Coffee,Foods,7,2004,90.0
"Total coffee, tea, and spices",REST OF WORLD,Million $,Coffee,Foods,8,2004,1673.3
"Total coffee, tea, and spices",WORLD,Million $,Coffee,Foods,9,2004,3144.3
"Total coffee, tea, and spices",WORLD (Quantity),"1,000 mt",Coffee,Foods,10,2004,1757.1
"Coffee beans, unroasted",BRAZIL,Million $,Coffee,Foods,11,2004,318.9
"Coffee beans, unroasted",COLOMBIA,Million $,Coffee,Foods,12,2004,386.5
"Coffee beans, unroasted",GUATEMALA,Million $,Coffee,Foods,13,2004,212.6
"Coffee beans, unroasted",HONDURAS,Million $,Coffee,Foods,14,2004,42.6
"Coffee beans, unroasted",PERU,Million $,Coffee,Foods,15,2004,75.2
"Coffee beans, unroasted",VIETNAM,Million $,Coffee,Foods,16,2004,111.4
"Coffee beans, unroasted",REST OF WORLD,Million $,Coffee,Foods,17,2004,720.5
"Coffee beans, unroasted",WORLD,Million $,Coffee,Foods,18,2004,1867.7
"Coffee beans, unroasted",WORLD (Quantity),"1,000 mt",Coffee,Foods,19,2004,1239.0
"Coffee, roasted and instant",SWITZERLAND,Million $,Coffee,Foods,20,2004,2.4
"Coffee, roasted and instant",CANADA,Million $,Coffee,Foods,21,2004,81.1
"Coffee, roasted and instant",ITALY,Million $,Coffee,Foods,22,2004,25.9
"Coffee, roasted and instant",COLOMBIA,Million $,Coffee,Foods,23,2004,5.3
"Coffee, roasted and instant",MEXICO,Million $,Coffee,Foods,24,2004,10.1
"Coffee, roasted and instant",REST OF WORLD,Million $,Coffee,Foods,25,2004,71.7
"Coffee, roasted and instant",WORLD,Million $,Coffee,Foods,26,2004,196.5
"Coffee, roasted and instant",WORLD (Quantity),"1,000 mt",Coffee,Foods,27,2004,41.4
Coffee extracts and preparations,MEXICO,Million $,Coffee,Foods,28,2004,35.9
Coffee extracts and preparations,BRAZIL,Million $,Coffee,Foods,29,2004,31.5
Coffee extracts and preparations,COLOMBIA,Million $,Coffee,Foods,30,2004,13.8
Coffee extracts and preparations,NETHERLANDS,Million $,Coffee,Foods,31,2004,48.0
Coffee extracts and preparations,REST OF WORLD,Million $,Coffee,Foods,32,2004,73.2
Coffee extracts and preparations,WORLD,Million $,Coffee,Foods,33,2004,202.4
Coffee extracts and preparations,WORLD (Quantity),"1,000 mt",Coffee,Foods,34,2004,44.0
Tea and mate,JAPAN,Million $,Coffee,Foods,35,2004,5.7
Tea and mate,CHINA,Million $,Coffee,Foods,36,2004,38.4
Tea and mate,CANADA,Million $,Coffee,Foods,37,2004,62.9
Tea and mate,INDIA,Million $,Coffee,Foods,38,2004,28.5
Tea and mate,REST OF WORLD,Million $,Coffee,Foods,39,2004,157.7
Tea and mate,WORLD,Million $,Coffee,Foods,40,2004,293.2
Tea and mate,WORLD (Quantity),"1,000 mt",Coffee,Foods,41,2004,184.3
Spices,VIETNAM,Million $,Coffee,Foods,42,2004,28.9
Spices,INDIA,Million $,Coffee,Foods,43,2004,54.1
Spices,MEXICO,Million $,Coffee,Foods,44,2004,26.2
Spices,CHINA,Million $,Coffee,Foods,45,2004,54.7
Spices,INDONESIA,Million $,Coffee,Foods,46,2004,72.8
Spices,SPAIN,Million $,Coffee,Foods,47,2004,17.7
Spices,PERU,Million $,Coffee,Foods,48,2004,16.8
Spices,MADAGASCAR,Million $,Coffee,Foods,49,2004,134.2
Spices,REST OF WORLD,Million $,Coffee,Foods,50,2004,179.2
Spices,WORLD,Million $,Coffee,Foods,51,2004,584.6
Spices,WORLD (Quantity),"1,000 mt",Coffee,Foods,52,2004,248.4
"Total coffee, tea, and spices",BRAZIL,Million $,Coffee,Foods,1,2005,562.5
"Total coffee, tea, and spices",COLOMBIA,Million $,Coffee,Foods,2,2005,632.7
"Total coffee, tea, and spices",SWITZERLAND,Million $,Coffee,Foods,3,2005,38.4
"Total coffee, tea, and spices",MEXICO,Million $,Coffee,Foods,4,2005,251.8
"Total coffee, tea, and spices",VIETNAM,Million $,Coffee,Foods,5,2005,190.7
"Total coffee, tea, and spices",CANADA,Million $,Coffee,Foods,6,2005,196.8
"Total coffee, tea, and spices",INDIA,Million $,Coffee,Foods,7,2005,92.7
"Total coffee, tea, and spices",REST OF WORLD,Million $,Coffee,Foods,8,2005,1805.2
"Total coffee, tea, and spices",WORLD,Million $,Coffee,Foods,9,2005,3770.8
"Total coffee, tea, and spices",WORLD (Quantity),"1,000 mt",Coffee,Foods,10,2005,1744.6
"Coffee beans, unroasted",BRAZIL,Million $,Coffee,Foods,11,2005,466.4
"Coffee beans, unroasted",COLOMBIA,Million $,Coffee,Foods,12,2005,598.0
"Coffee beans, unroasted",GUATEMALA,Million $,Coffee,Foods,13,2005,284.1
"Coffee beans, unroasted",HONDURAS,Million $,Coffee,Foods,14,2005,60.3
"Coffee beans, unroasted",PERU,Million $,Coffee,Foods,15,2005,78.8
"Coffee beans, unroasted",VIETNAM,Million $,Coffee,Foods,16,2005,148.2
"Coffee beans, unroasted",REST OF WORLD,Million $,Coffee,Foods,17,2005,866.2
"Coffee beans, unroasted",WORLD,Million $,Coffee,Foods,18,2005,2502.0
"Coffee beans, unroasted",WORLD (Quantity),"1,000 mt",Coffee,Foods,19,2005,1213.6
"Coffee, roasted and instant",SWITZERLAND,Million $,Coffee,Foods,20,2005,3.2
"Coffee, roasted and instant",CANADA,Million $,Coffee,Foods,21,2005,100.5
"Coffee, roasted and instant",ITALY,Million $,Coffee,Foods,22,2005,31.7
"Coffee, roasted and instant",COLOMBIA,Million $,Coffee,Foods,23,2005,6.9
"Coffee, roasted and instant",MEXICO,Million $,Coffee,Foods,24,2005,16.7
"Coffee, roasted and instant",REST OF WORLD,Million $,Coffee,Foods,25,2005,94.7
"Coffee, roasted and instant",WORLD,Million $,Coffee,Foods,26,2005,253.7
"Coffee, roasted and instant",WORLD (Quantity),"1,000 mt",Coffee,Foods,27,2005,46.9
Coffee extracts and preparations,MEXICO,Million $,Coffee,Foods,28,2005,49.5
Coffee extracts and preparations,BRAZIL,Million $,Coffee,Foods,29,2005,50.4
Coffee extracts and preparations,COLOMBIA,Million $,Coffee,Foods,30,2005,23.3
Coffee extracts and preparations,NETHERLANDS,Million $,Coffee,Foods,31,2005,15.2
Coffee extracts and preparations,REST OF WORLD,Million $,Coffee,Foods,32,2005,84.5
